,info,name
0,暂无歌手信息,Active Planets
1,"
            曾虎，江西南丰人，2006年至今在网络发布有十个专辑，口碑良好。
其豆瓣页面：http://www.douban.com/people/z2L/
    ",西皮士
2,暂无歌手信息,Patrick Baker
3,暂无歌手信息,吴梦奇
4,暂无歌手信息,Olivia O'Brien
5,暂无歌手信息,JayKode
6,"此乐队两千年的时候成立在Burlington, Ontario，实际上就在TORONTO的近郊一个小地方,PLAY很鲜明的EMO/HARDCORE风格。后来他们经朋友的介绍和VICTORY RECORDS签了约，在签约后不久，就出了第一张专集WHEN BROKEN IS EASILY FIXED,瞬间在全球销量超过200,000张。并给SILVERSTEIN赢得了在Alternative Press' 100 Bands You Need To Know in the spring of 2005中的一席之地。

之后SIVERSTEIN就开始了很长很长的巡演,(与HH,FALL OUT BOYS这样的乐队一起)并培养了很多铁杆乐迷,很多他们的FANS用一种他们的机器人文身来表达对他们的支持.而且,在巡演的过程中,他们并没有发起继续写歌.他们后来在CA遇到了后来的PRODUCER,Cameron Webb,他可以说是他们第二张专集创作过程中灵魂似的人物,(很有名的PRODUCER,BEN FOLDS FIVE的制作人)在WEBB的监督下,他们在CA呆了很长一段时间,去完成第二张专集的写作和RECORDING, ""I was completely alone when I did most of the vocal tracks and I think the focus I was able to achieve was really important""TOLD回忆他们的写作过程时候说道. 

在第二张专集的录制过程中,整个乐队都相当努力.且当时有个叫Martin Wittfooth 的家伙为他们画画,把他们的创作概念转化成锋利的可见的东西。

再接下来,就是单曲,SMILE IN UR SLEEP的出现,想当然啦,自然引起很大凡响.再来,就是被更多人所熟悉的专集DICOVERING THE WATERFRONT",Silverstein
7,"　　小柯，原名柯肇雷。一位活跃在歌坛，集作词、作曲、演唱三位一体的北京著名的音乐人。1995年12月出版了以自己名字命名的首张个人专辑《念来去》。1998年10月推出了自己的第二张个人专辑《天色将晚》，并为电视剧《新神雕侠侣》、《千秋家国梦》、《二马》、《京都神探》和《将爱情进行到底》创作了主题曲。 

1981年师从中央音乐学院金爱萍教授学习钢琴；1984年--1990年 就读于中国北京西城区丰盛中学；1990年--1992年 就读于中国北京首都师范大学音乐系，主攻钢琴专业。

小柯多次获得流行音乐界最佳作曲、最佳制作人等奖项，曾创作多首脍炙人口的音乐作品，并为多名歌手担任音乐制作人：创作歌曲《生命之风》由中国著名歌手那英演唱，作为中国为奥运喝彩曲目，在中央电视台等大众媒体播放。由于创作作品的出色及在社会中引起的强烈反响，荣获第四届东方风云榜中国十大金曲奖。

1998年发行的第二张个人专辑《天色将晚》，该专辑由自己担任词曲创作、编曲、键盘手、制作人，与亚洲顶级乐手合作尝试概念专辑的制作手法，多首歌曲在全国各地排行榜名列榜首。中国著名歌手那英签约EMI公司后应邀为其签约后的首张专辑创作《为了爱》、《最爱这一天》两首作品，并荣登中国内地、台湾及香港地区排行榜冠军。《为了爱》荣获广东人民广播电台与省市50家电台联合主办的广东创作歌曲大赛-《广东广播新歌榜》98年第二季季选金曲。
　
1999年为电视剧《将爱情进行到底》创作歌曲及音乐，该部电视剧以描写都市青年爱情生活为主线，其中穿插大量歌曲和音乐，由中国著名歌手陈明、谢雨欣演绎作品。同时自己演唱了《遥望》、《我还能做什么》两首歌曲，该两首作品在全国各地均列排行榜榜首，《等你爱我》被公众推选为北京音乐台“中国歌曲排行榜”1999年度优秀影视歌曲。《我还能做什么》、《等你爱我》荣获“中国歌曲排行榜”十大金曲演唱、词、曲创作共三项大奖。
　　",小柯
8,"
            江海迦（Agatha Kong，1988年1月21日），别名AGA，香港创作女歌手，混血儿，拥有菲律宾（西班牙）血统，师承舒文，于2013年正式出道，其唱片公司为环球唱片。
    ",AGA
9,"
            Euphoria是一个来自日本东京的三人乐团，由日本森川裕之（吉他，主唱，团长），佐藤昭太（贝斯）和木下阳辅（鼓）三人组成。乐队成立於2001年冬季。Euphoria的音乐裏有种抒情且大气自在的氛围围绕著。也就是说，他们似乎在营造一种寂静的咆哮声来带领著听众进入童话般的风景。迄今为止，他们与美国的The Album Leaf和Tarentel，意大利的Bellini，英国的Yndi Halda，以及其他乐团合作过。他们的6个正式发布的专辑已在日本上市 。
    ",euphoria
10,暂无歌手信息,Picturesque
11,"
            Spitz就在1991年，成之为在日本80年代后半期所谓的“乐队盛世”已经开始走下坡路时，它的末裔的四人组乐队问世了。虽然受到了部分业界人氏的关注，但销售量却根本进入不了记录，以非常朴素的面貌迎来了它的开端。

",スピッツ
12,暂无歌手信息,Cliff Richard & the Shadows
13,暂无歌手信息,소각소각
14,"
            黄小琥（1963年6月21日－），原名黄春凤，台湾流行音乐女歌手，出生于高雄市盐埕区，具丰富的PUB驻唱经验，风格与一般女歌手不同，以歌声浑厚，灵魂唱腔著称，也被称为“The Queen of Pub （Pub女王）”。座右铭为“脚踏实地靠自己”。曾精彩演绎的《不只是朋友》 、 《分不到你的爱》等多首经典好歌至今都在歌坛绽放光芒。

",黄小琥
15,暂无歌手信息,群星
16,"
            Mrs. GREEN APPLEは、日本の5人組バンド。2015年7月8日、EMI RECORDSからメジャーデビュー。
    ",Mrs.GREEN APPLE
17,"韩磊，是前中国流行音乐界最具个人特色，最受全国听众喜爱的男歌手之一。1991年开始踏入中国流行音乐界，1991年7月韩磊参加了北京举行的《新人新声》大型演出，他酣畅豪迈、洒脱不羁的演唱方式感染了所有在场观众，也因此他在中国流行乐坛开始崭露头角。在接下来的五年中，韩磊演唱了近百出的连续剧主题曲，以及许多红极一时的单曲，其中包括《走四方》、《天上没有北大荒》、《天蓝蓝海蓝蓝》、《爱情飞蛾》等歌。此外，还有很多名叫“韩磊”的同名人物，有大学教授、摄影家、运动员、优秀大学生。
",韩磊
18,暂无歌手信息,ヲタみん
19,"Katelyn Marie Tarver (born November 2, 1989) is an American singer/songwriter/actress. She is known for her roles of Jo Taylor on the hit Nick show Big Time Rush and as Natalie on the ABC series No Ordinary Family.

Tarver is a native of Glennville, Georgia.She came to fame in 2003 as an American Idol spinoff American Juniors finalist and released her debut album Wonderful Crazy in 2005 by an independent record label, TC Music. She is also a model, represented by Wilhelmina Models[1] and modeled for such magazines as COSMOgirl! and Teen People.
",Katelyn Tarver
